,Species name currently accepted,Forest formation,Savanna formation,Grassland formation,Pasture,Forest plantation,Urban area,Agriculture,Rocky outcrop
1,"Apis mellifera Linnaeus, 1758",0.93,1,0.53,0.33,0.87,0.77,0.4,0.47
2,"Centris (Centris) nitens Lepeletier, 1841",0.67,0.87,0.93,0.4,0.2,0.53,0.33,0.73
3,"Centris (Trachina) fuscata Lepeletier, 1841",0.73,0.93,1,0.47,0.2,0.2,0.27,0.73
4,"Exomalopsis (Exomalopsis) analis Spinola, 1853",0.8,0.93,1,0.6,0.27,0.47,0.47,0.8
5,"Exomalopsis (Exomalopsis) auropilosa Spinola, 1853",0.83,0.93,1,0.6,0.27,0.47,0.47,0.8
6,"Frieseomelitta doederleini (Friese, 1900)",1,0.93,0.4,0.2,0.67,0.5,0.33,0.53
7,"Frieseomelitta languida Moure, 1990",1,0.93,0.4,0.2,0.6,0.63,0.27,0.53
8,"Frieseomelitta varia (Lepeletier, 1836)",1,0.93,0.4,0.2,0.67,0.57,0.27,0.53
9,"Geotrigona mombuca (Smith, 1863)",0.73,0.93,1,0.67,0.33,0.6,0.47,0.73
10,"Melipona (Melipona) quadrifasciata quadrifasciata Lepeletier, 1836",1,1,0.47,0.13,0.73,0.63,0.2,0.33
11,"Oxytrigona tataira (Smith, 1863)",1,0.93,0.47,0.2,0.6,0.47,0.27,0.47
12,"Paratrigona lineata (Lepeletier, 1836)",0.73,0.93,1,0.53,0.33,0.6,0.4,0.67
13,"Plebeia droryana (Friese, 1900)",0.93,1,0.47,0.2,0.73,0.6,0.33,0.47
14,"Plebeia wittmanni Moure & Camargo, 1989",0.6,0.8,0.8,0.33,0.27,0.53,0.33,0.8
15,"Tetragona clavipes (Fabricius, 1804)",1,1,0.47,0.2,0.67,0.5,0.27,0.47
16,"Tetragonisca angustula (Latreille, 1811)",0.93,1,0.67,0.27,0.73,0.8,0.47,0.53
17,"Trigona hyalinata (Lepeletier, 1836)",1,1,0.53,0.13,0.6,0.63,0.27,0.8
18,"Trigona recursa Smith, 1863",0.73,0.93,1,0.47,0.2,0.4,0.33,0.67
19,"Trigona spinipes (Fabricius, 1793)",1,1,0.47,0.13,0.87,0.73,0.4,0.4
20,"Xylocopa (Neoxylocopa) grisescens Lepeletier, 1841",1,1,0.47,0.2,0.67,0.7,0.33,0.4
21,"Xylocopa (Neoxylocopa) suspecta Moure & Camargo, 1988",1,1,0.47,0.2,0.67,0.57,0.27,0.4
