id,left,top,right,bottom
50641,612240.000000000000000,8226710.000000000000000,612340.000000000000000,8226610.000000000000000
50640,612240.000000000000000,8226810.000000000000000,612340.000000000000000,8226710.000000000000000
50642,612240.000000000000000,8226610.000000000000000,612340.000000000000000,8226510.000000000000000
65021,614840.000000000000000,8226510.000000000000000,614940.000000000000000,8226410.000000000000000
65023,614840.000000000000000,8226310.000000000000000,614940.000000000000000,8226210.000000000000000
65022,614840.000000000000000,8226410.000000000000000,614940.000000000000000,8226310.000000000000000
56739,613340.000000000000000,8225210.000000000000000,613440.000000000000000,8225110.000000000000000
56738,613340.000000000000000,8225310.000000000000000,613440.000000000000000,8225210.000000000000000
56741,613340.000000000000000,8225010.000000000000000,613440.000000000000000,8224910.000000000000000
56740,613340.000000000000000,8225110.000000000000000,613440.000000000000000,8225010.000000000000000
44533,611140.000000000000000,8229210.000000000000000,611240.000000000000000,8229110.000000000000000
44535,611140.000000000000000,8229010.000000000000000,611240.000000000000000,8228910.000000000000000
44534,611140.000000000000000,8229110.000000000000000,611240.000000000000000,8229010.000000000000000
44537,611140.000000000000000,8228810.000000000000000,611240.000000000000000,8228710.000000000000000
44536,611140.000000000000000,8228910.000000000000000,611240.000000000000000,8228810.000000000000000
44539,611140.000000000000000,8228610.000000000000000,611240.000000000000000,8228510.000000000000000
44538,611140.000000000000000,8228710.000000000000000,611240.000000000000000,8228610.000000000000000
50621,612240.000000000000000,8228710.000000000000000,612340.000000000000000,8228610.000000000000000
44541,611140.000000000000000,8228410.000000000000000,611240.000000000000000,8228310.000000000000000
121935,625140.000000000000000,8231010.000000000000000,625240.000000000000000,8230910.000000000000000
44540,611140.000000000000000,8228510.000000000000000,611240.000000000000000,8228410.000000000000000
121934,625140.000000000000000,8231110.000000000000000,625240.000000000000000,8231010.000000000000000
50623,612240.000000000000000,8228510.000000000000000,612340.000000000000000,8228410.000000000000000
44543,611140.000000000000000,8228210.000000000000000,611240.000000000000000,8228110.000000000000000
121937,625140.000000000000000,8230810.000000000000000,625240.000000000000000,8230710.000000000000000
50622,612240.000000000000000,8228610.000000000000000,612340.000000000000000,8228510.000000000000000
44542,611140.000000000000000,8228310.000000000000000,611240.000000000000000,8228210.000000000000000
121936,625140.000000000000000,8230910.000000000000000,625240.000000000000000,8230810.000000000000000
